                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3013,                 2.4254,                 1.7736,                0.38562,                0.12375,                0.10913,                0.05452,                 1.8605,                 4.4388,                0.59448,             0.00066225,             0.00066225,             0.00066225
                      2,                 1.6242,                 1.5404,                  1.164,                0.34988,                0.08824,                0.08102,                0.04326,                 1.6942,                 2.8775,                0.56634,              0.0013158,              0.0013158,              0.0013158
                      3,                 1.5611,                 1.3973,                 1.0929,                0.34705,                0.06937,                0.06035,                0.03225,                 1.5597,                 3.1415,                0.49816,              0.0019561,              0.0019561,              0.0019561
                      4,                 1.5002,                 1.3298,                 1.0501,                0.48339,                0.05827,                0.07098,                0.04367,                 1.4839,                 2.2807,                0.46606,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4435,                 1.2693,                 1.0255,                0.40729,                0.06715,                0.07019,                0.03911,                 1.5884,                 2.4347,                0.50047,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.3922,                 1.2009,                  1.003,                0.44103,                0.03774,                0.04597,                0.02611,                   1.56,                 2.3405,                0.53868,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3472,                 1.1666,                0.99479,                0.41979,                0.03718,                0.04642,                0.03035,                 1.3804,                 2.0897,                0.44301,               0.001901,               0.001901,               0.001901
                      8,                 1.2965,                 1.1156,                0.96822,                0.49867,                0.03385,                0.06509,                0.04442,                 1.3257,                 1.9406,                0.43022,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.308,                 1.1062,                0.97173,                0.33098,                0.03487,                0.06122,                0.03829,                  1.553,                 2.2097,                0.48958,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2626,                 1.0928,                0.95608,                0.45809,                0.04785,                0.06054,                 0.0408,                 1.3042,                 1.9312,                0.43189,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2543,                 1.0909,                 0.9639,                0.42499,                0.04329,                0.06318,                0.04359,                 1.2608,                 1.9089,                0.42852,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.1929,                 1.0329,                0.94485,                0.43265,                0.03718,                0.05123,                0.03554,                 1.2606,                 1.9233,                0.42227,               0.001802,               0.001802,               0.001802
                     13,                 1.1885,                 1.0606,                0.94446,                0.52736,                0.03552,                0.05223,                0.03604,                 1.3163,                 1.9139,                0.43733,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.1914,                 1.0042,                0.94117,                0.45544,                0.05216,                0.06708,                 0.0456,                  1.258,                 1.8294,                0.42403,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.1749,                0.99086,                0.93915,                0.44169,                0.03607,                0.04674,                0.03235,                   1.19,                 1.8151,                0.39892,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.1511,                  1.006,                0.92958,                0.63093,                0.09434,                0.12948,                0.08623,                 1.2335,                 1.7694,                0.41507,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.1304,                0.94456,                0.92841,                0.57397,                0.08324,                0.10829,                0.07235,                 1.2188,                 1.7508,                0.41871,               0.001703,               0.001703,               0.001703
                     18,                 1.1402,                0.95953,                0.93062,                0.64728,                0.09767,                 0.1282,                0.08776,                 1.1492,                 1.6205,                0.39849,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.117,                0.95659,                0.93459,                 0.6102,                0.12542,                0.15189,                0.09937,                 1.2746,                  1.853,                0.41169,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.1138,                0.92705,                0.92472,                0.62331,                0.11487,                0.14041,                0.09423,                 1.1228,                 1.6289,                0.38657,              0.0016436,              0.0016436,              0.0016436
