                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0176,                 3.1806,                 1.7329,                0.29158,                0.06207,                0.04918,                0.02232,                 1.7845,                  4.411,                 1.0095,              0.0033201,              0.0033201,              0.0033201
                      2,                 1.4802,                 1.7236,                 1.3678,                0.33177,                0.03289,                0.03414,                0.01666,                  1.686,                   3.16,                0.95345,              0.0065875,              0.0065875,              0.0065875
                      3,                 1.3839,                 1.3258,                 1.3225,                0.26215,                0.03474,                 0.0308,                0.01549,                 1.6202,                 3.4402,                0.98418,               0.009789,               0.009789,               0.009789
                      4,                 1.3609,                 1.1477,                  1.323,                0.27877,                0.02501,                0.03031,                0.01767,                 1.4726,                 2.7354,                0.94041,               0.009703,               0.009703,               0.009703
                      5,                 1.2168,                0.95532,                 1.2432,                0.35064,                0.02426,                0.03716,                0.02377,                 1.3569,                   2.26,                0.87822,               0.009604,               0.009604,               0.009604
                      6,                  1.106,                 0.8409,                 1.1798,                0.35276,                0.02872,                0.03825,                0.02475,                 1.3167,                  2.347,                0.87338,               0.009505,               0.009505,               0.009505
                      7,                 1.0326,                0.76543,                 1.1392,                 0.5003,                0.02825,                0.04594,                0.02899,                 1.3112,                 2.2406,                0.86117,               0.009406,               0.009406,               0.009406
                      8,                0.96409,                0.70416,                 1.0988,                0.54682,                0.03937,                0.05045,                0.02973,                 1.2774,                 2.1071,                0.85085,               0.009307,               0.009307,               0.009307
                      9,                0.90733,                0.65882,                 1.0658,                0.38528,                0.03335,                0.06181,                0.04083,                 1.2445,                 1.8838,                0.84493,               0.009208,               0.009208,               0.009208
                     10,                0.86213,                0.62352,                 1.0437,                0.45848,                0.05373,                0.06898,                0.04596,                 1.1744,                 1.8831,                0.82398,               0.009109,               0.009109,               0.009109
                     11,                0.82184,                0.58584,                 1.0207,                0.59223,                0.06647,                0.09263,                0.06164,                 1.2061,                  1.902,                0.83391,                0.00901,                0.00901,                0.00901
                     12,                0.77933,                0.55647,                 1.0007,                0.50939,                0.12112,                0.13216,                0.08454,                 1.2241,                 2.1355,                0.85047,               0.008911,               0.008911,               0.008911
                     13,                0.75317,                0.53676,                0.98751,                0.64178,                0.18527,                0.19979,                0.12791,                 1.1469,                 2.0254,                0.82689,               0.008812,               0.008812,               0.008812
                     14,                0.71908,                0.51338,                0.96761,                0.64524,                0.18874,                0.19618,                0.12633,                 1.1473,                 1.8893,                0.82793,               0.008713,               0.008713,               0.008713
                     15,                0.69215,                0.48852,                0.95491,                0.67453,                0.21098,                0.22208,                0.14326,                  1.121,                 1.8495,                0.82011,               0.008614,               0.008614,               0.008614
                     16,                0.67226,                0.47302,                0.94393,                0.64394,                0.18064,                0.21166,                0.13806,                 1.1192,                  1.726,                0.81803,               0.008515,               0.008515,               0.008515
                     17,                0.64888,                0.45848,                0.93126,                0.63965,                 0.1774,                0.20633,                0.13499,                  1.133,                 1.7494,                0.83069,               0.008416,               0.008416,               0.008416
                     18,                0.62309,                0.43833,                0.91718,                0.69765,                0.20357,                0.22952,                0.15065,                  1.127,                 1.7044,                0.82848,               0.008317,               0.008317,               0.008317
                     19,                0.60417,                0.42605,                0.90813,                0.64635,                0.19893,                0.21326,                0.13704,                  1.106,                 1.7485,                0.82819,               0.008218,               0.008218,               0.008218
